ref,wilfordMatch,scriptureMatch
D&C 136:39, testimony with , testimony with 
Heb. 11:37," were sawn asunder,"," were sawn asunder,"
Rev. 6:9," for the word of God, and the testimony "," for the word of God, and for the testimony "
2 Pet. 1:21, holy men who wrote and spoke as they were moved upon by the Holy Ghost, holy men of God spake as they were moved by the Holy Ghost
Gen. 2:7, the breath of life, the breath of life
Prov. 14:34," exalteth a nation, while sin is a reproach to any people.", exalteth a nation: but sin is a reproach to any people.
Matt. 7:2, what measure they measure to others will be measured ," what measure ye mete, it shall be measured "
D&C 33:5,h out of the wilderness,h out of the wilderness
D&C 109:73,h out of the wilderness and out of darkness,h out of the wilderness of darkness
Eph. 2:20,"t upon the foundation of truth, Christ Jesus being the chief corner","t upon the foundation of the apostles and prophets, Jesus Christ himself being the chief corner"
Dan. 2:44,"but it should break in pieces and consume all these kingdoms, and it sh","but it shall break in pieces and consume all these kingdoms, and it sh"
Dan. 2:44, break in pieces a, break in pieces a
Rev. 14:6-7,"Saying with a loud voice, Fear God, and give glory to him; for the hour of his judgment is come","Saying with a loud voice, Fear God, and give glory to him; for the hour of his judgment is come"
Rev. 1:9,"ord of God, and the testimony of Jesus Christ","ord of God, and for the testimony of Jesus Christ"
John 15:19," out of the world, the"," out of the world, the"
Isa. 60:22,"ll become a great nation, and God will hasten it in ","ll become a thousand, and a small one a strong nation: I the LORD will hasten it in "
Rom. 1:16, is the power of God unto salvation to every one that believeth, is the power of God unto salvation to every one that believeth
D&C 84:33,"n, and the magnifying their calling, are sanctified by the Spirit unto the renewing of their bodies.","n, and the magnifying their calling, are sanctified by the Spirit unto the renewing of their bodies."
D&C 84:38-39,en unto him.  “And this is according to the oath and the covenant which belongeth to the priesthood.,en unto him.And this is according to the oath and covenant which belongeth to the priesthood.
D&C 84:41,"urneth therefrom, shall not have forgiveness of sins in this world nor in the world ","urneth therefrom, shall not have forgiveness of sins in this world nor in the world "
Isa. 14:12, son of the morning, son of the morning
D&C 76:26, the heavens among the spirits-from God upon his throne down to Lucifer the son of the morning," the heavens wept over him--he was Lucifer, a son of the morning"
Jer. 25:31, a controversy with th, a controversy with th
Luke 21:24, of the Gentiles , of the Gentiles 
Rev. 16:19,"reat Babylon comes in remembrance before God,","reat Babylon came in remembrance before God,"
D&C 1:36,"on Idumea, or the world","on Idumea, or the world"
Heb. 11:8, went out not knowing wh," went out, not knowing wh"
Deut. 20:3,et not your hearts ,et not your hearts 
D&C 103:19,"Therefore I say to the Saints, fear not. Trust in God. Let not your hearts ","Therefore, let not your hearts "
D&C 58:22,e reigns whose right it is to reign,e reigns whose right it is to reign
Hosea 8:7, reap the whirlwind, reap the whirlwind
Luke 17:33,ll seek to save his life ,ll seek to save his life 
Eph. 4:10, descended below all things.," descended is the same also that ascended up far above all heavens, that he might fill all things."
D&C 88:6, descended below all things, descended below all things
D&C 122:8, descended below , descended below 
D&C 122:8,"descended, I believe, lower than any other man will be called to descend. Are we greater than ",descended below them all. Art thou greater than 
D&C 4:2," might, mind and strength"," might, mind and strength"
Rev. 14:6,"d to every nation, tongue and people","d to every nation, and kindred, and tongue, and people"
D&C 133:37," be preached to every nation, tongue and people"," be preached unto every nation, and kindred, and tongue, and people"
Matt. 24:14," be preached to every nation, tongue and people for a witness", be preached in all the world for a witness
D&C 2:2, the promises made to the fathers respecting their children," the promises made to the fathers, and the hearts of the children"
3 Ne. 5:24-26," their own lands,"," their own lands,"
Matt. 6:24,e cannot serve God and mammon.,e cannot serve God and mammon.
Luke 16:13,e cannot serve God and mammon.,e cannot serve God and mammon.
D&C 101:17," be moved out of her place,"," be moved out of her place,"
Matt. 13:31-32,d lodge in the branches thereof.,d lodge in the branches thereof.
D&C 64:33, laying the foundation of a great work, laying the foundation of a great work
John 3:19,"darkness better than light, because their deeds were evil.","darkness rather than light, because their deeds were evil."
Dan. 7:21, made war against the," made war with the saints, and prevailed against the"
Rev. 6:9, for the  [p.54a]word of God, for the word of God
1 Pet. 3:19,spirits in prison,spirits in prison
D&C 105:14, will fight our battles, will fight your battles
D&C 63:33, the wicked to slay the wicked, the wicked shall slay the wicked
Ps. 76:10, the remainder of their wrath will be restrain, the remainder of wrath shalt thou restrain
D&C 121:36,s of heaven can only be obtained and controlled upon the principles of righteousness.,s of heaven cannot be controlled nor handled only upon the principles of righteousness.
2 Kgs. 6:15-17,e servant of the ,e servant of the 
A of F 1:11, God according to the dictates of their own conscience, God according to the dictates of our own conscience
Gal. 1:8-9,"n, preach any other gospel unto you than that which we have preached unto you, let him be accursed","n, preach any other gospel unto you than that which we have preached unto you, let him be accursed"
1 Cor. 15:22,"For as in Adam all die, even so in Christ shall all be made alive.","For as in Adam all die, even so in Christ shall all be made alive."
2 Ne. 2:25,"Adam fell that man might be, and men are that they might have joy","Adam fell that men might be; and men are, that they might have joy"
1 Tim. 2:14,t the woman was deceived ,t the woman being deceived 
Matt. 16:27, reward every man according to , reward every man according to 
2 Cor. 5:10, according to th, according to th
1 Cor. 15:52," in the twinkling of an eye,"," in the twinkling of an eye,"
3 Ne. 28:8,inkling of an eye,inkling of an eye
