ref,wilfordMatch,scriptureMatch
1 Ne. 13:12,,
D&C 135:3,,
D&C 136:39, deaths. They had to seal their testimony with their blood, death; but it was needful that he should seal his testimony with his blood
Heb. 11:37," were crucified; others were sawn asunder,"," were stoned, they were sawn asunder,"
Rev. 6:9," for the word of God, and the testimony "," for the word of God, and for the testimony "
2 Pet. 1:21, holy men who wrote and spoke as they were moved upon by the Holy Ghost, holy men of God spake as they were moved by the Holy Ghost
Gen. 2:7, of the whole world-of the fourteen hundred millions of people who breathe the breath of life," of the dust of the ground, and breathed into his nostrils the breath of life"
Isa. 31:1,,
Prov. 14:34," exalteth a nation, while sin is a reproach to any people.", exalteth a nation: but sin is a reproach to any people.
Gal. 6:7,,
Matt. 7:2, what measure they measure to others will be measured ," what measure ye mete, it shall be measured "
Isa. 40:1-3,,
Jer. 31:1-14,,
Ezek. 20:33-44,,
D&C 5:14,,
D&C 33:5,", that in the latter days He would set His hand to call forth His Church out of the wilderness",", that this church have I established and called forth out of the wilderness"
D&C 109:73,h out of the wilderness and out of darkness,h out of the wilderness of darkness
Eph. 2:20,"t upon the foundation of truth, Christ Jesus being the chief corner","t upon the foundation of the apostles and prophets, Jesus Christ himself being the chief corner"
1 Pet. 2:6,"n the foundation of truth, Christ Jesus being the chief corner","n the scripture, Behold, I lay in Sion a chief corner"
Dan. 2:44,"but it should break in pieces and consume all these kingdoms, and it sh","but it shall break in pieces and consume all these kingdoms, and it sh"
Dan. 2:34-35,,
D&C 65:2,,
Dan. 2:44, break in pieces a, break in pieces a
Isa. 2:2-3,,
Rev. 1:9,,
Rev. 14:6-7,"Saying with a loud voice, Fear God, and give glory to him; for the hour of his judgment is come","Saying with a loud voice, Fear God, and give glory to him; for the hour of his judgment is come"
Rev. 1:9,"ord of God, and the testimony of Jesus Christ","ord of God, and for the testimony of Jesus Christ"
Rev. 6:9," were put to death in the flesh for the word of God, and the testimony "," were slain for the word of God, and for the testimony "
D&C 13:1,,
D&C 27:8, Joseph Smith. John the Baptist conferred upon him the Aaron," Joseph Smith, Jun., and Oliver Cowdery, to ordain you unto the first priesthood which you have received, that you might be called and ordained even as Aaron"
JS-H 1:68-72,,
D&C 27:12,,
John 15:19,"because the Lord has called them forth out of the world, the","because ye are not of the world, but I have chosen you out of the world, the"
Isa. 60:22,"ll become a great nation, and God will hasten it in His time","ll become a thousand, and a small one a strong nation: I the LORD will hasten it in his time"
Rom. 1:16, is the power of God unto salvation to every one that believeth-to Jew or Greek," is the power of God unto salvation to every one that believeth; to the Jew first, and also to the Greek"
D&C 84:33,"n, and the magnifying their calling, are sanctified by the Spirit unto the renewing of their bodies.","n, and the magnifying their calling, are sanctified by the Spirit unto the renewing of their bodies."
D&C 84:38-39,en unto him.  “And this is according to the oath and the covenant which belongeth to the priesthood.,en unto him.And this is according to the oath and covenant which belongeth to the priesthood.
D&C 84:41,"urneth therefrom, shall not have forgiveness of sins in this world nor in the world  [p.9a]to come.","urneth therefrom, shall not have forgiveness of sins in this world nor in the world to come."
Micah 3:11,,
Acts 19:27,,
1 Cor. 12:28,,
Eph. 2:20,,
Isa. 14:12, heavens among the spirits-from God upon his throne down to Lucifer the son of the morning," heaven, O Lucifer, son of the morning"
D&C 76:26, the heavens among the spirits-from God upon his throne down to Lucifer the son of the morning," the heavens wept over him--he was Lucifer, a son of the morning"
Jer. 25:31,nds of God if they persecute us. The Lord has a controversy with th,nds of the earth; for the LORD hath a controversy with th
Luke 21:24,", and the Jews have been trampled under the feet of the Gentiles ",", and shall be led away captive into all nations: and Jerusalem shall be trodden down of the Gentiles, until the times of the Gentiles "
Rev. 5:9,,
Rev. 8:6, the seals; the blowing of the trumpets, the seven angels which had the seven trumpets
Rev. 16:1,,
Rev. 21:9, of the seals; the blowing of the trumpets; the pouring out of the plagues, of the seven angels which had the seven vials full of the seven last plagues
Rev. 16:19,"reat Babylon comes in remembrance before God,","reat Babylon came in remembrance before God,"
Isa. 34:5-6,,
D&C 1:36," shall fall on Idumea, or the world"," shall have power over his saints, and shall reign in their midst, and shall come down in judgment upon Idumea, or the world"
Heb. 11:3, faith in that direction. As the ancients had faith; as the world was created by , faith we understand that the worlds were framed by 
Heb. 11:7,,
Gen. 6:3,d the Gospel of repentance for 120 years,"d the LORD said, My spirit shall not always strive with man, for that he also is flesh: yet his days shall be an hundred and twenty years"
Moses 8:17,,
Heb. 11:8,y faith; as Abraham went out not knowing wh,"y faith Abraham, when he was called to go out into a place which he should after receive for an inheritance, obeyed; and he went out, not knowing wh"
Deut. 20:3,"to the end. Therefore I say to the Saints, fear not. Trust in God. Let not your hearts ","to them, Hear, O Israel, ye approach this day unto battle against your enemies: let not your hearts "
D&C 103:19,"Therefore I say to the Saints, fear not. Trust in God. Let not your hearts ","Therefore, let not your hearts "
D&C 88:2,,
D&C 98:2,,
