ref,wilfordMatch,scriptureMatch
D&C 136:39, testimony with , testimony with 
Heb. 11:37," were sawn asunder,"," were sawn asunder,"
Rev. 6:9," for the word of God, and the testimony "," for the word of God, and for the testimony "
2 Pet. 1:21, holy men who wrote and spoke as they were moved upon by the Holy Ghost, holy men of God spake as they were moved by the Holy Ghost
Gen. 2:7, the breath of life, the breath of life
Prov. 14:34," exalteth a nation, while sin is a reproach to any people.", exalteth a nation: but sin is a reproach to any people.
Matt. 7:2, what measure they measure to others will be measured ," what measure ye mete, it shall be measured "
D&C 33:5,h out of the wilderness,h out of the wilderness
D&C 109:73,h out of the wilderness and out of darkness,h out of the wilderness of darkness
Eph. 2:20,"t upon the foundation of truth, Christ Jesus being the chief corner","t upon the foundation of the apostles and prophets, Jesus Christ himself being the chief corner"
Dan. 2:44,"me all these kingdoms, and it sh","me all these kingdoms, and it sh"
Dan. 2:44, break in pieces a, break in pieces a
Rev. 14:6-7,"Saying with a loud voice, Fear God, and give glory to him; for the hour of his judgment is come","Saying with a loud voice, Fear God, and give glory to him; for the hour of his judgment is come"
Rev. 1:9,"ord of God, and the testimony of Jesus Christ","ord of God, and for the testimony of Jesus Christ"
Rev. 6:9," for the word of God, and the testimony "," for the word of God, and for the testimony "
John 15:19," out of the world, the"," out of the world, the"
Isa. 60:22,"ll become a great nation, and God will hasten it in ","ll become a thousand, and a small one a strong nation: I the LORD will hasten it in "
Rom. 1:16, is the power of God unto salvation to every one that believeth, is the power of God unto salvation to every one that believeth
D&C 84:33,"n, and the magnifying their calling, are sanctified by the Spirit unto the renewing of their bodies.","n, and the magnifying their calling, are sanctified by the Spirit unto the renewing of their bodies."
D&C 84:38-39,en unto him.  “And this is according to the oath and the covenant which belongeth to the priesthood.,en unto him.And this is according to the oath and covenant which belongeth to the priesthood.
D&C 84:41,"urneth therefrom, shall not have forgiveness of sins in this world nor in the world ","urneth therefrom, shall not have forgiveness of sins in this world nor in the world "
Isa. 14:12, son of the morning, son of the morning
D&C 76:26, the heavens among the spirits-from God upon his throne down to Lucifer the son of the morning," the heavens wept over him--he was Lucifer, a son of the morning"
Jer. 25:31, a controversy with th, a controversy with th
Luke 21:24, of the Gentiles , of the Gentiles 
Rev. 16:19,"reat Babylon comes in remembrance before God,","reat Babylon came in remembrance before God,"
D&C 1:36,"on Idumea, or the world","on Idumea, or the world"
Deut. 20:3,et not your hearts ,et not your hearts 
D&C 103:19,et not your hearts ,et not your hearts 
D&C 58:22,e reigns whose right it is to reign,e reigns whose right it is to reign
Hosea 8:7, reap the whirlwind, reap the whirlwind
Luke 17:33,ll seek to save his life ,ll seek to save his life 
Eph. 4:10, descended below all things.," descended is the same also that ascended up far above all heavens, that he might fill all things."
D&C 88:6, descended below all things, descended below all things
D&C 122:8, descended below , descended below 
D&C 136:39, testimony with , testimony with 
Heb. 11:37," were sawn asunder,"," were sawn asunder,"
Rev. 6:9," for the word of God, and the testimony "," for the word of God, and for the testimony "
2 Pet. 1:21, holy men who wrote and spoke as they were moved upon by the Holy Ghost, holy men of God spake as they were moved by the Holy Ghost
Gen. 2:7, the breath of life, the breath of life
Prov. 14:34," exalteth a nation, while sin is a reproach to any people.", exalteth a nation: but sin is a reproach to any people.
Matt. 7:2, what measure they measure to others will be measured ," what measure ye mete, it shall be measured "
D&C 33:5,h out of the wilderness,h out of the wilderness
D&C 109:73,h out of the wilderness and out of darkness,h out of the wilderness of darkness
Eph. 2:20,"t upon the foundation of truth, Christ Jesus being the chief corner","t upon the foundation of the apostles and prophets, Jesus Christ himself being the chief corner"
Dan. 2:44,"me all these kingdoms, and it sh","me all these kingdoms, and it sh"
Dan. 2:44, break in pieces a, break in pieces a
Rev. 14:6-7,"Saying with a loud voice, Fear God, and give glory to him; for the hour of his judgment is come","Saying with a loud voice, Fear God, and give glory to him; for the hour of his judgment is come"
Rev. 1:9,"ord of God, and the testimony of Jesus Christ","ord of God, and for the testimony of Jesus Christ"
Rev. 6:9," for the word of God, and the testimony "," for the word of God, and for the testimony "
John 15:19," out of the world, the"," out of the world, the"
Isa. 60:22,"ll become a great nation, and God will hasten it in ","ll become a thousand, and a small one a strong nation: I the LORD will hasten it in "
Rom. 1:16, is the power of God unto salvation to every one that believeth, is the power of God unto salvation to every one that believeth
D&C 84:33,"n, and the magnifying their calling, are sanctified by the Spirit unto the renewing of their bodies.","n, and the magnifying their calling, are sanctified by the Spirit unto the renewing of their bodies."
D&C 84:38-39,en unto him.  “And this is according to the oath and the covenant which belongeth to the priesthood.,en unto him.And this is according to the oath and covenant which belongeth to the priesthood.
D&C 84:41,"urneth therefrom, shall not have forgiveness of sins in this world nor in the world ","urneth therefrom, shall not have forgiveness of sins in this world nor in the world "
Isa. 14:12, son of the morning, son of the morning
D&C 76:26, the heavens among the spirits-from God upon his throne down to Lucifer the son of the morning," the heavens wept over him--he was Lucifer, a son of the morning"
Jer. 25:31, a controversy with th, a controversy with th
Luke 21:24, of the Gentiles , of the Gentiles 
Rev. 16:19,"reat Babylon comes in remembrance before God,","reat Babylon came in remembrance before God,"
D&C 1:36,"on Idumea, or the world","on Idumea, or the world"
